# Blocks-15.1.0.txt
# 日期：2023-07-28, 15:47:20 GMT
# ? 2023 Unicode?, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 始码、译名(|例字)|区段名

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

10F70..10FAF; 回鹘|Old Uyghur
10FB0..10FDF; 花剌子模|Chorasmian
10FE0..10FFF; 以利买|Elymaic
11000..1107F; 婆罗米|Brahmi
11080..110CF; 开梯|Kaithi
110D0..110FF; 索拉索姆彭|Sora Sompeng
11100..1114F; 查克马|Chakma
11150..1117F; 默哈杰内|Mahajani
11180..111DF; 沙勒德|Sharada
111E0..111FF; 僧伽罗古数字|Sinhala Archaic Numbers
11200..1124F; 科杰基|Khojki
11280..112AF; 木尔坦|Multani
112B0..112FF; 库达本德|Khudawadi
11300..1137F; 格兰他|Grantha
11400..1147F; 内瓦|Newa
11480..114DF; 蒂勒胡塔|Tirhuta
11580..115FF; 悉昙|Siddham
11600..1165F; 莫迪|Modi
11660..1167F; 蒙文补充|Mongolian Supplement
11680..116CF; 塔克里|Takri
11700..1174F; 阿含|Ahom
11800..1184F; 道格拉|Dogra
118A0..118FF; 瓦朗奇蒂|Warang Citi
11900..1195F; 迪维希阿库鲁|Dives Akuru
119A0..119FF; 嫩迪城体|Nandinagari
11A00..11A4F; 札那巴札尔方字|Zanabazar Square
11A50..11AAF; 索永布|Soyombo
11AB0..11ABF; 统一加拿大土著音节扩充甲|Unified Canadian Aboriginal Syllabics Extended-A
11AC0..11AFF; 包钦豪|Pau Cin Hau
11B00..11B5F; 天城体扩充甲|Devanagari Extended-A
11C00..11C6F; 比克舒基|Bhaiksuki
11C70..11CBF; 玛尔钦体|Marchen
11D00..11D5F; 马萨拉姆贡德|Masaram Gondi
11D60..11DAF; 贡贾尔贡德|Gunjala Gondi
11EE0..11EFF; 望加锡|Makasar
11F00..11F5F; 克维|Kawi
11FB0..11FBF; 傈僳补充|Lisu Supplement
11FC0..11FFF; 泰米尔补充|Tamil Supplement
12000..123FF; 楔形文字|Cuneiform
12400..1247F; 楔形数字及标点|Cuneiform Numbers and Punctuation
12480..1254F; 早王朝楔形文字|Early Dynastic Cuneiform
12F90..12FFF; 塞浦路斯-米诺斯|Cypro-Minoan
13000..1342F; 埃及圣书体|Egyptian Hieroglyphs
13430..1345F; 埃及圣书体格式控制符|Egyptian Hieroglyph Format Controls
14400..1467F; 安纳托利亚意音文字|Anatolian Hieroglyphs
16800..16A3F; 巴默姆补充|Bamum Supplement
16A40..16A6F; 姆鲁|Mro
16A70..16ACF; 通萨|Tangsa
16AD0..16AFF; 巴索奥瓦|Bassa Vah
16B00..16B8F; 帕皓苗|Pahawh Hmong
16E40..16E9F; 梅代法伊德林|Medefaidrin
16F00..16F9F; 苗(老)|Miao
16FE0..16FFF; 表意符号及标点|Ideographic Symbols and Punctuation
17000..187FF; 西夏|Tangut
18800..18AFF; 西夏偏旁|Tangut Components
18B00..18CFF; 契丹小字|Khitan Small Script
18D00..18D7F; 西夏补充|Tangut Supplement
1AFF0..1AFFF; 假名扩充乙|Kana Extended-B
1B000..1B0FF; 假名补充|Kana Supplement
1B100..1B12F; 假名扩充甲|Kana Extended-A
1B130..1B16F; 小型假名扩充|Small Kana Extension
1B170..1B2FF; 女书|Nüshu
1BC00..1BC9F; 杜普雷速记|Duployan
1BCA0..1BCAF; 速记格式控制符|Shorthand Format Controls
1CF00..1CFCF; 兹纳缅内音符|Znamenny Musical Notation
1D000..1D0FF; 拜占庭乐符|Byzantine Musical Symbols
1D100..1D1FF; 乐符|Musical Symbols
1D200..1D24F; 古希腊音符|Ancient Greek Musical Notation
1D2C0..1D2DF; 卡克托维克数字|Kaktovik Numerals
1D2E0..1D2FF; 玛雅数字|Mayan Numerals
1D300..1D35F; 太玄经卦爻|Tai Xuan Jing Symbols
1D360..1D37F; 算筹|Counting Rod Numerals
1D400..1D7FF; 数学字母数字符号|Mathematical Alphanumeric Symbols
1D800..1DAAF; 萨顿手语|Sutton SignWriting
1DF00..1DFFF; 拉丁扩充庚|Latin Extended-G
1E000..1E02F; 格拉哥里补充|Glagolitic Supplement
1E030..1E08F; 西里尔扩充丁|Cyrillic Extended-D
1E100..1E14F; 苗(创世)|Nyiakeng Puachue Hmong
1E290..1E2BF; 托托|Toto
1E2C0..1E2FF; 万乔|Wancho
1E4D0..1E4FF; 纳格蒙达里|Nag Mundari
1E7E0..1E7FF; 埃塞扩充乙|Ethiopic Extended-B
1E800..1E8DF; 门迪基卡奎|Mende Kikakui
1E900..1E95F; 阿德拉姆|Adlam
1EC70..1ECBF; 印度帐目数字|Indic Siyaq Numbers
1ED00..1ED4F; 奥斯曼帐目数字|Ottoman Siyaq Numbers
1EE00..1EEFF; 阿拉伯数学字母符号|Arabic Mathematical Alphabetic Symbols
1F000..1F02F; 麻将牌|Mahjong Tiles
1F030..1F09F; 多米诺牌|Domino Tiles
1F0A0..1F0FF; 扑克|Playing Cards
1F100..1F1FF; 附围字母数字补充|Enclosed Alphanumeric Supplement
1F200..1F2FF; 附围表意文字补充|Enclosed Ideographic Supplement
1F300..1F5FF; 各式符号及象形|Miscellaneous Symbols and Pictographs
1F600..1F64F; 表情|Emoticons
1F650..1F67F; 装饰什锦|Ornamental Dingbats
1F680..1F6FF; 交通及地图符号|Transport and Map Symbols
1F700..1F77F; 炼金术符|Alchemical Symbols
1F780..1F7FF; 几何形状扩充|Geometric Shapes Extended
1F800..1F8FF; 增补箭头丙|Supplemental Arrows-C
1F900..1F9FF; 增补符号及象形|Supplemental Symbols and Pictographs
1FA00..1FA6F; 棋符|Chess Symbols
1FA70..1FAFF; 符号及象形扩充甲|Symbols and Pictographs Extended-A
1FB00..1FBFF; 遗留电脑符号|Symbols for Legacy Computing
20000..2A6DF; 汉字统一表意扩充乙|CJK Unified Ideographs Extension B
2A700..2B73F; 汉字统一表意扩充丙|CJK Unified Ideographs Extension C
2B740..2B81F; 汉字统一表意扩充丁|CJK Unified Ideographs Extension D
2B820..2CEAF; 汉字统一表意扩充戊|CJK Unified Ideographs Extension E
2CEB0..2EBEF; 汉字统一表意扩充己|CJK Unified Ideographs Extension F
2EBF0..2EE5F; 汉字统一表意扩充壬|CJK Unified Ideographs Extension I
2F800..2FA1F; 汉字兼容表意补充|CJK Compatibility Ideographs Supplement
30000..3134F; 汉字统一表意扩充庚|CJK Unified Ideographs Extension G
31350..323AF; 汉字统一表意扩充辛|CJK Unified Ideographs Extension H
E0000..E007F; 标签|Tags
E0100..E01EF; 变体选择符补充|Variation Selectors Supplement
F0000..FFFFF; 增补私用区甲|Supplementary Private Use Area-A
100000..10FFFF; 增补私用区乙|Supplementary Private Use Area-B
