# Blocks-15.1.0.txt
# 日期：2023-07-28, 15:47:20 GMT
# © 2023 Unicode®, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 例字)|区段名|始码、译名(

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

A980..A9DF; Javanese|爪哇文字
A9E0..A9FF; Myanmar Extended-B|缅甸文字扩展B
AA00..AA5F; Cham|占文字
AA60..AA7F; Myanmar Extended-A|缅甸文字扩展A
AA80..AADF; Tai Viet|傣越文字
AAE0..AAFF; Meetei Mayek Extensions|米代文字扩展
AB00..AB2F; Ethiopic Extended-A|埃塞俄比亚文字扩展A
AB30..AB6F; Latin Extended-E|拉丁文字扩展E
AB70..ABBF; Cherokee Supplement|切罗基文字补充
ABC0..ABFF; Meetei Mayek|米代文字
AC00..D7AF; Hangul Syllables|谚文音节
D7B0..D7FF; Hangul Jamo Extended-B|谚文字母扩展B
D800..DB7F; High Surrogates|高位替代
DB80..DBFF; High Private Use Surrogates|高位私用替代
DC00..DFFF; Low Surrogates|低位替代
E000..F8FF; Private Use Area|私人使用区
F900..FAFF; CJK Compatibility Ideographs|中日韩兼容汉字
FB00..FB4F; Alphabetic Presentation Forms|字母变体形式
FB50..FDFF; Arabic Presentation Forms-A|阿拉伯文字变体A
FE00..FE0F; Variation Selectors|变体选择符
FE10..FE1F; Vertical Forms|竖排标点符号
FE20..FE2F; Combining Half Marks|组合用半记号
FE30..FE4F; CJK Compatibility Forms|中日韩兼容标点符号
FE50..FE6F; Small Form Variants|小型标点符号
FE70..FEFF; Arabic Presentation Forms-B|阿拉伯文字变体B
FF00..FFEF; Halfwidth and Fullwidth Forms|半角符号及全角符号
FFF0..FFFF; Specials|特殊字符
10000..1007F; Linear B Syllabary|线形文字B音节文字
10080..100FF; Linear B Ideograms|线形文字B表意文字
10100..1013F; Aegean Numbers|爱琴数字
10140..1018F; Ancient Greek Numbers|古希腊数字
10190..101CF; Ancient Symbols|古代符号
101D0..101FF; Phaistos Disc|费斯托斯圆盘文字
10280..1029F; Lycian|吕基亚文字
102A0..102DF; Carian|加里亚文字
102E0..102FF; Coptic Epact Numbers|科普特闰余数字
10300..1032F; Old Italic|古意大利文字
10330..1034F; Gothic|哥特文字
10350..1037F; Old Permic|古彼尔姆文字
10380..1039F; Ugaritic|乌加里特文字
103A0..103DF; Old Persian|古波斯文字
10400..1044F; Deseret|德撒律文字
10450..1047F; Shavian|萧伯纳文字
10480..104AF; Osmanya|伊斯马尼亚文字
104B0..104FF; Osage|奥色治文字
10500..1052F; Elbasan|爱尔巴桑文字
10530..1056F; Caucasian Albanian|高加索阿尔巴尼亚文字
10570..105BF; Vithkuqi|维斯库奇文字
10600..1077F; Linear A|线形文字A
10780..107BF; Latin Extended-F|拉丁文字扩展F
10800..1083F; Cypriot Syllabary|塞浦路斯音节文字
10840..1085F; Imperial Aramaic|帝国阿拉姆文字
10860..1087F; Palmyrene|巴尔米拉文字
10880..108AF; Nabataean|奈伯特文字
108E0..108FF; Hatran|哈特拉文字
10900..1091F; Phoenician|腓尼基文字
10920..1093F; Lydian|吕底亚文字
10980..1099F; Meroitic Hieroglyphs|麦罗埃圣书体文字
109A0..109FF; Meroitic Cursive|麦罗埃草书体文字
10A00..10A5F; Kharoshthi|佉卢文字
10A60..10A7F; Old South Arabian|古南阿拉比亚文字
10A80..10A9F; Old North Arabian|古北阿拉比亚文字
10AC0..10AFF; Manichaean|摩尼文字
10B00..10B3F; Avestan|阿维斯塔文字
10B40..10B5F; Inscriptional Parthian|碑铭体帕提亚文字
10B60..10B7F; Inscriptional Pahlavi|碑铭体巴列维文字
10B80..10BAF; Psalter Pahlavi|诗篇体巴列维文字
10C00..10C4F; Old Turkic|突厥文字
10C80..10CFF; Old Hungarian|古匈牙利文字
10D00..10D3F; Hanifi Rohingya|哈尼菲罗兴亚文字
10E60..10E7F; Rumi Numeral Symbols|鲁米数字符号
10E80..10EBF; Yezidi|耶西迪文字
10EC0..10EFF; Arabic Extended-C|阿拉伯文字扩展C
10F00..10F2F; Old Sogdian|古粟特文字
10F30..10F6F; Sogdian|粟特文字
10F70..10FAF; Old Uyghur|回鹘文字
10FB0..10FDF; Chorasmian|花剌子模文字
10FE0..10FFF; Elymaic|以利买文字
11000..1107F; Brahmi|婆罗米文字
11080..110CF; Kaithi|开梯文字
110D0..110FF; Sora Sompeng|索拉索姆彭文字
11100..1114F; Chakma|查克马文字
11150..1117F; Mahajani|默哈杰内文字
11180..111DF; Sharada|沙勒德文字文字
111E0..111FF; Sinhala Archaic Numbers|僧伽罗古数字
11200..1124F; Khojki|科杰基文字
11280..112AF; Multani|木尔坦文字
112B0..112FF; Khudawadi|库达本德文字
11300..1137F; Grantha|格兰他文字
11400..1147F; Newa|内瓦文字
11480..114DF; Tirhuta|蒂勒胡塔文字
11580..115FF; Siddham|悉昙文字
11600..1165F; Modi|莫迪文字
11660..1167F; Mongolian Supplement|蒙古文字补充
11680..116CF; Takri|塔克里文字
11700..1174F; Ahom|阿含文字
11800..1184F; Dogra|道格拉文字
118A0..118FF; Warang Citi|瓦朗奇蒂文字
11900..1195F; Dives Akuru|迪维希阿库鲁文字
119A0..119FF; Nandinagari|嫩迪城体文字
11A00..11A4F; Zanabazar Square|札那巴札尔方形文字
11A50..11AAF; Soyombo|索永布文字
11AB0..11ABF; Unified Canadian Aboriginal Syllabics Extended-A|统一加拿大土著音节扩展A
11AC0..11AFF; Pau Cin Hau|包钦豪文字
11B00..11B5F; Devanagari Extended-A|天城文字扩充A
11C00..11C6F; Bhaiksuki|比克舒基文字
11C70..11CBF; Marchen|玛尔钦体文字
11D00..11D5F; Masaram Gondi|马萨拉姆贡德文字
11D60..11DAF; Gunjala Gondi|贡贾尔贡德文字
11EE0..11EFF; Makasar|望加锡文字
11F00..11F5F; Kawi|克维文字
11FB0..11FBF; Lisu Supplement|傈僳文字补充
11FC0..11FFF; Tamil Supplement|泰米尔文字补充
12000..123FF; Cuneiform|楔形文字
12400..1247F; Cuneiform Numbers and Punctuation|楔形文字数字和标点符号
12480..1254F; Early Dynastic Cuneiform|早王朝楔形文字
12F90..12FFF; Cypro-Minoan|塞浦路斯-米诺斯文字
13000..1342F; Egyptian Hieroglyphs|埃及圣书体
13430..1345F; Egyptian Hieroglyph Format Controls|埃及圣书体格式控制符
14400..1467F; Anatolian Hieroglyphs|安纳托利亚意音文字
16800..16A3F; Bamum Supplement|巴默姆文字补充
16A40..16A6F; Mro|姆鲁文字
16A70..16ACF; Tangsa|通萨文字
16AD0..16AFF; Bassa Vah|巴索奥瓦文字
16B00..16B8F; Pahawh Hmong|帕皓苗文字
16E40..16E9F; Medefaidrin|梅代法伊德林文字
16F00..16F9F; Miao|苗(老)文字
16FE0..16FFF; Ideographic Symbols and Punctuation|表意符号及标点
17000..187FF; Tangut|西夏文字
18800..18AFF; Tangut Components|西夏文字部首
18B00..18CFF; Khitan Small Script|契丹小字
18D00..18D7F; Tangut Supplement|西夏文字补充
1AFF0..1AFFF; Kana Extended-B|假名扩展B
1B000..1B0FF; Kana Supplement|假名补充
1B100..1B12F; Kana Extended-A|假名扩展A
1B130..1B16F; Small Kana Extension|小型假名扩展
1B170..1B2FF; Nüshu|女书
1BC00..1BC9F; Duployan|杜普雷速记文字
1BCA0..1BCAF; Shorthand Format Controls|速记格式控制符
1CF00..1CFCF; Znamenny Musical Notation|兹纳缅内乐谱记号
1D000..1D0FF; Byzantine Musical Symbols|拜占庭乐符符号
1D100..1D1FF; Musical Symbols|乐谱符号
1D200..1D24F; Ancient Greek Musical Notation|古希腊乐谱记号
1D2C0..1D2DF; Kaktovik Numerals|卡克托维克数字
1D2E0..1D2FF; Mayan Numerals|玛雅数字
1D300..1D35F; Tai Xuan Jing Symbols|太玄经符号
1D360..1D37F; Counting Rod Numerals|算筹数字
1D400..1D7FF; Mathematical Alphanumeric Symbols|数学字母数字符号
1D800..1DAAF; Sutton SignWriting|萨顿手语符号
1DF00..1DFFF; Latin Extended-G|拉丁文字扩展G
1E000..1E02F; Glagolitic Supplement|格拉哥里文字补充
1E030..1E08F; Cyrillic Extended-D|西里尔文字扩展D
1E100..1E14F; Nyiakeng Puachue Hmong|苗(创世)文
1E290..1E2BF; Toto|托托文字
1E2C0..1E2FF; Wancho|万乔文字
1E4D0..1E4FF; Nag Mundari|纳格蒙达里文字
1E7E0..1E7FF; Ethiopic Extended-B|埃塞俄比亚文字扩展B
1E800..1E8DF; Mende Kikakui|门迪基卡奎文字
1E900..1E95F; Adlam|阿德拉姆文字
1EC70..1ECBF; Indic Siyaq Numbers|印度帐目数字
1ED00..1ED4F; Ottoman Siyaq Numbers|奥斯曼帐目数字
1EE00..1EEFF; Arabic Mathematical Alphabetic Symbols|阿拉伯数学字母符号
1F000..1F02F; Mahjong Tiles|麻将牌
1F030..1F09F; Domino Tiles|多米诺骨牌
1F0A0..1F0FF; Playing Cards|扑克牌
1F100..1F1FF; Enclosed Alphanumeric Supplement|包围字母数字补充
1F200..1F2FF; Enclosed Ideographic Supplement|包围表意文字补充
1F300..1F5FF; Miscellaneous Symbols and Pictographs|各式符号及图形符号
1F600..1F64F; Emoticons|表情符号
1F650..1F67F; Ornamental Dingbats|装饰印刷符号
1F680..1F6FF; Transport and Map Symbols|交通及地图符号
1F700..1F77F; Alchemical Symbols|炼金术符号
1F780..1F7FF; Geometric Shapes Extended|几何形状扩展
1F800..1F8FF; Supplemental Arrows-C|补充箭头C
1F900..1F9FF; Supplemental Symbols and Pictographs|补充符号及图形标记
1FA00..1FA6F; Chess Symbols|棋子符号
1FA70..1FAFF; Symbols and Pictographs Extended-A|符号及图形扩展A
1FB00..1FBFF; Symbols for Legacy Computing|遗留电脑符号
20000..2A6DF; CJK Unified Ideographs Extension B|中日韩统一汉字扩展B区
2A700..2B73F; CJK Unified Ideographs Extension C|中日韩统一汉字扩展C区
2B740..2B81F; CJK Unified Ideographs Extension D|中日韩统一汉字扩展D区
2B820..2CEAF; CJK Unified Ideographs Extension E|中日韩统一汉字扩展E区
2CEB0..2EBEF; CJK Unified Ideographs Extension F|中日韩统一汉字扩展F区
2EBF0..2EE5F; CJK Unified Ideographs Extension I|中日韩统一汉字扩展I区
2F800..2FA1F; CJK Compatibility Ideographs Supplement|中日韩兼容汉字补充
30000..3134F; CJK Unified Ideographs Extension G|中日韩统一汉字扩展G区
31350..323AF; CJK Unified Ideographs Extension H|中日韩统一汉字扩展H区
E0000..E007F; Tags|标签
E0100..E01EF; Variation Selectors Supplement|变体选择符补充
F0000..FFFFF; Supplementary Private Use Area-A|补充私人使用区A
100000..10FFFF; Supplementary Private Use Area-B|补充私人使用区B
